"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1000000US360470011001008","Block 1008, Block Group 1, Census Tract 11, Kings County, New York","26"
"1000000US360470011001009","Block 1009, Block Group 1, Census Tract 11, Kings County, New York","0"
"1000000US360470011001010","Block 1010, Block Group 1, Census Tract 11, Kings County, New York","0"
"1000000US360470013001002","Block 1002, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001005","Block 1005, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001009","Block 1009, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001011","Block 1011, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001013","Block 1013, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001014","Block 1014, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001015","Block 1015, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001017","Block 1017, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001003","Block 1003, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001000","Block 1000, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001001","Block 1001, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001004","Block 1004, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001007","Block 1007, Block Group 1, Census Tract 13, Kings County, New York","22"
"1000000US360470013001008","Block 1008, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001010","Block 1010, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001016","Block 1016, Block Group 1, Census Tract 13, Kings County, New York","0"
"1000000US360470013001012","Block 1012, Block Group 1, Census Tract 13, Kings County, New York","2"
"1000000US360470013001006","Block 1006, Block Group 1, Census Tract 13, Kings County, New York","1540"
"1000000US360470013002001","Block 2001, Block Group 2, Census Tract 13, Kings County, New York","0"
"1000000US360470013002002","Block 2002, Block Group 2, Census Tract 13, Kings County, New York","711"
"1000000US360470013002003","Block 2003, Block Group 2, Census Tract 13, Kings County, New York","0"
"1000000US360470013002000","Block 2000, Block Group 2, Census Tract 13, Kings County, New York","0"
"1000000US360470015001001","Block 1001, Block Group 1, Census Tract 15, Kings County, New York","129"
"1000000US360470015001002","Block 1002, Block Group 1, Census Tract 15, Kings County, New York","15"
"1000000US360470015001006","Block 1006, Block Group 1, Census Tract 15, Kings County, New York","221"
"1000000US360470015001007","Block 1007, Block Group 1, Census Tract 15, Kings County, New York","295"
"1000000US360470015001003","Block 1003, Block Group 1, Census Tract 15, Kings County, New York","0"
"1000000US360470015001005","Block 1005, Block Group 1, Census Tract 15, Kings County, New York","114"
"1000000US360470015001008","Block 1008, Block Group 1, Census Tract 15, Kings County, New York","0"
"1000000US360470015001000","Block 1000, Block Group 1, Census Tract 15, Kings County, New York","13"
"1000000US360470015001004","Block 1004, Block Group 1, Census Tract 15, Kings County, New York","113"
"1000000US360470015002002","Block 2002, Block Group 2, Census Tract 15, Kings County, New York","0"
"1000000US360470015002013","Block 2013, Block Group 2, Census Tract 15, Kings County, New York","156"
"1000000US360470015002008","Block 2008, Block Group 2, Census Tract 15, Kings County, New York","60"
"1000000US360470015002000","Block 2000, Block Group 2, Census Tract 15, Kings County, New York","0"
"1000000US360470015002001","Block 2001, Block Group 2, Census Tract 15, Kings County, New York","0"
"1000000US360470015002003","Block 2003, Block Group 2, Census Tract 15, Kings County, New York","0"
"1000000US360470015002006","Block 2006, Block Group 2, Census Tract 15, Kings County, New York","279"
"1000000US360470015002004","Block 2004, Block Group 2, Census Tract 15, Kings County, New York","0"
"1000000US360470015002005","Block 2005, Block Group 2, Census Tract 15, Kings County, New York","30"
"1000000US360470015002007","Block 2007, Block Group 2, Census Tract 15, Kings County, New York","57"
"1000000US360470015002009","Block 2009, Block Group 2, Census Tract 15, Kings County, New York","322"
"1000000US360470015002010","Block 2010, Block Group 2, Census Tract 15, Kings County, New York","56"
"1000000US360470015002011","Block 2011, Block Group 2, Census Tract 15, Kings County, New York","379"
"1000000US360470015002012","Block 2012, Block Group 2, Census Tract 15, Kings County, New York","48"
"1000000US360470015002014","Block 2014, Block Group 2, Census Tract 15, Kings County, New York","107"
"1000000US360470015003006","Block 3006, Block Group 3, Census Tract 15, Kings County, New York","78"
"1000000US360470015003011","Block 3011, Block Group 3, Census Tract 15, Kings County, New York","35"
"1000000US360470015003004","Block 3004, Block Group 3, Census Tract 15, Kings County, New York","0"
"1000000US360470015003007","Block 3007, Block Group 3, Census Tract 15, Kings County, New York","148"
"1000000US360470015003009","Block 3009, Block Group 3, Census Tract 15, Kings County, New York","0"
"1000000US360470015003001","Block 3001, Block Group 3, Census Tract 15, Kings County, New York","0"
"1000000US360470015003003","Block 3003, Block Group 3, Census Tract 15, Kings County, New York","6"
"1000000US360470015003005","Block 3005, Block Group 3, Census Tract 15, Kings County, New York","391"
"1000000US360470015003010","Block 3010, Block Group 3, Census Tract 15, Kings County, New York","0"
"1000000US360470015003012","Block 3012, Block Group 3, Census Tract 15, Kings County, New York","0"
"1000000US360470015003000","Block 3000, Block Group 3, Census Tract 15, Kings County, New York","469"
"1000000US360470015003008","Block 3008, Block Group 3, Census Tract 15, Kings County, New York","0"
"1000000US360470015003002","Block 3002, Block Group 3, Census Tract 15, Kings County, New York","0"
"1000000US360470018000001","Block 0001, Block Group 0, Census Tract 18, Kings County, New York","0"
"1000000US360470018000003","Block 0003, Block Group 0, Census Tract 18, Kings County, New York","0"
"1000000US360470018000002","Block 0002, Block Group 0, Census Tract 18, Kings County, New York","0"
"1000000US360470018000004","Block 0004, Block Group 0, Census Tract 18, Kings County, New York","0"
"1000000US360470018000005","Block 0005, Block Group 0, Census Tract 18, Kings County, New York","0"
"1000000US360470018001003","Block 1003, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001004","Block 1004, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001006","Block 1006, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001007","Block 1007, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001008","Block 1008, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001009","Block 1009, Block Group 1, Census Tract 18, Kings County, New York","9"
"1000000US360470018001010","Block 1010, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001011","Block 1011, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001012","Block 1012, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001013","Block 1013, Block Group 1, Census Tract 18, Kings County, New York","2089"
"1000000US360470018001014","Block 1014, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001019","Block 1019, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001022","Block 1022, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001023","Block 1023, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001026","Block 1026, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001039","Block 1039, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001029","Block 1029, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001032","Block 1032, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001036","Block 1036, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001040","Block 1040, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001042","Block 1042, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001046","Block 1046, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001000","Block 1000, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001001","Block 1001, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001002","Block 1002, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001005","Block 1005, Block Group 1, Census Tract 18, Kings County, New York","7"
"1000000US360470018001015","Block 1015, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001016","Block 1016, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001017","Block 1017, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001018","Block 1018, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001021","Block 1021, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001027","Block 1027, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001028","Block 1028, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001030","Block 1030, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001031","Block 1031, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001033","Block 1033, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001034","Block 1034, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001035","Block 1035, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001037","Block 1037, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001038","Block 1038, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001041","Block 1041, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001043","Block 1043, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001044","Block 1044, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001045","Block 1045, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001025","Block 1025, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001024","Block 1024, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470018001020","Block 1020, Block Group 1, Census Tract 18, Kings County, New York","0"
"1000000US360470020001000","Block 1000, Block Group 1, Census Tract 20, Kings County, New York","49"
"1000000US360470020001001","Block 1001, Block Group 1, Census Tract 20, Kings County, New York","63"
"1000000US360470020001003","Block 1003, Block Group 1, Census Tract 20, Kings County, New York","225"
"1000000US360470020001005","Block 1005, Block Group 1, Census Tract 20, Kings County, New York","0"
"1000000US360470020001006","Block 1006, Block Group 1, Census Tract 20, Kings County, New York","13"
"1000000US360470020001004","Block 1004, Block Group 1, Census Tract 20, Kings County, New York","0"
"1000000US360470020001007","Block 1007, Block Group 1, Census Tract 20, Kings County, New York","64"
"1000000US360470020001002","Block 1002, Block Group 1, Census Tract 20, Kings County, New York","310"
"1000000US360470020002000","Block 2000, Block Group 2, Census Tract 20, Kings County, New York","271"
"1000000US360470020002001","Block 2001, Block Group 2, Census Tract 20, Kings County, New York","185"
"1000000US360470020002002","Block 2002, Block Group 2, Census Tract 20, Kings County, New York","474"
"1000000US360470020002006","Block 2006, Block Group 2, Census Tract 20, Kings County, New York","18"
"1000000US360470020002003","Block 2003, Block Group 2, Census Tract 20, Kings County, New York","0"
"1000000US360470020002005","Block 2005, Block Group 2, Census Tract 20, Kings County, New York","0"
"1000000US360470020002004","Block 2004, Block Group 2, Census Tract 20, Kings County, New York","0"
"1000000US360470021001014","Block 1014, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001007","Block 1007, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001000","Block 1000, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001001","Block 1001, Block Group 1, Census Tract 21, Kings County, New York","266"
"1000000US360470021001002","Block 1002, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001003","Block 1003, Block Group 1, Census Tract 21, Kings County, New York","404"
"1000000US360470021001004","Block 1004, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001005","Block 1005, Block Group 1, Census Tract 21, Kings County, New York","57"
"1000000US360470021001006","Block 1006, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001008","Block 1008, Block Group 1, Census Tract 21, Kings County, New York","554"
"1000000US360470021001009","Block 1009, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001010","Block 1010, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001011","Block 1011, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001012","Block 1012, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021001013","Block 1013, Block Group 1, Census Tract 21, Kings County, New York","0"
"1000000US360470021002000","Block 2000, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002001","Block 2001, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002004","Block 2004, Block Group 2, Census Tract 21, Kings County, New York","280"
"1000000US360470021002008","Block 2008, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002007","Block 2007, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002010","Block 2010, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002025","Block 2025, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002026","Block 2026, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002029","Block 2029, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002016","Block 2016, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002002","Block 2002, Block Group 2, Census Tract 21, Kings County, New York","68"
"1000000US360470021002003","Block 2003, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002005","Block 2005, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002006","Block 2006, Block Group 2, Census Tract 21, Kings County, New York","5"
"1000000US360470021002009","Block 2009, Block Group 2, Census Tract 21, Kings County, New York","138"
"1000000US360470021002011","Block 2011, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002012","Block 2012, Block Group 2, Census Tract 21, Kings County, New York","0"
"1000000US360470021002013","Block 2013, Block Group 2, Census Tract 21, Kings County, New York","1"
"1000000US360470021002014","Block 2014, Block Group 2, Census Tract 21, Kings County, New York","527"
