,id,Geographic Area Name,Estimate_RACE_Total population,ME_RACE_Total population,PT Estimate_RACE_Total population,PT ME_RACE_Total population,Estimate_RACE_Total population_One race,ME_RACE_Total population_One race,PT Estimate_RACE_Total population_One race,PT ME_RACE_Total population_One race,Estimate_RACE_Total population_Two or more races,ME_RACE_Total population_Two or more races,PT Estimate_RACE_Total population_Two or more races,PT ME_RACE_Total population_Two or more races,Estimate_RACE_Total population_One race,ME_RACE_Total population_One race,PT Estimate_RACE_Total population_One race,PT ME_RACE_Total population_One race,Estimate_RACE_Total population_One race_White,ME_RACE_Total population_One race_White,PT Estimate_RACE_Total population_One race_White,PT ME_RACE_Total population_One race_White,Estimate_RACE_Total population_One race_Black or African American,ME_RACE_Total population_One race_Black or African American,PT Estimate_RACE_Total population_One race_Black or African American,PT ME_RACE_Total population_One race_Black or African American,Estimate_RACE_Total population_One race_American Indian and Alaska Native,ME_RACE_Total population_One race_American Indian and Alaska Native,PT Estimate_RACE_Total population_One race_American Indian and Alaska Native,PT ME_RACE_Total population_One race_American Indian and Alaska Native,Estimate_RACE_Total population_One race_Asian,ME_RACE_Total population_One race_Asian,PT Estimate_RACE_Total population_One race_Asian,PT ME_RACE_Total population_One race_Asian,Estimate_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,ME_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,PT Estimate_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,PT ME_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,Estimate_RACE_Total population_One race_Some other race,ME_RACE_Total population_One race_Some other race,PT Estimate_RACE_Total population_One race_Some other race,PT ME_RACE_Total population_One race_Some other race,Estimate_RACE_Total population_Two or more races,ME_RACE_Total population_Two or more races,PT Estimate_RACE_Total population_Two or more races,PT ME_RACE_Total population_Two or more races,Estimate_RACE_Total population_Two or more races_White and Black or African American,ME_RACE_Total population_Two or more races_White and Black or African American,PT Estimate_RACE_Total population_Two or more races_White and Black or African American,PT ME_RACE_Total population_Two or more races_White and Black or African American,Estimate_RACE_Total population_Two or more races_White and American Indian and Alaska Native,ME_RACE_Total population_Two or more races_White and American Indian and Alaska Native,PT Estimate_RACE_Total population_Two or more races_White and American Indian and Alaska Native,PT ME_RACE_Total population_Two or more races_White and American Indian and Alaska Native,Estimate_RACE_Total population_Two or more races_White and Asian,ME_RACE_Total population_Two or more races_White and Asian,PT Estimate_RACE_Total population_Two or more races_White and Asian,PT ME_RACE_Total population_Two or more races_White and Asian,Estimate_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,ME_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,PT Estimate_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,PT ME_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,Estimate_HISPANIC OR LATINO AND RACE_Total population,ME_HISPANIC OR LATINO AND RACE_Total population,PT Estimate_HISPANIC OR LATINO AND RACE_Total population,PT ME_HISPANIC OR LATINO AND RACE_Total population,Estimate_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race),ME_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race),PT Estimate_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race),PT ME_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race)
89,8600000US10965,ZCTA5 10965,15517,521,15517,(X),15290,502,98.5,0.8,227,129,1.5,0.8,15290,502,98.5,0.8,13607,655,87.7,4.2,456,468,2.9,3.0,105,121,0.7,0.8,736,333,4.7,2.1,0,19,0.0,0.2,386,339,2.5,2.2,227,129,1.5,0.8,85,100,0.5,0.6,9,14,0.1,0.1,106,80,0.7,0.5,0,19,0.0,0.2,15517,521,15517,(X),1195,386,7.7,2.5
90,8600000US10977,ZCTA5 10977,64882,1357,64882,(X),63943,1414,98.6,0.5,939,334,1.4,0.5,63943,1414,98.6,0.5,35856,1377,55.3,1.7,17441,1048,26.9,1.6,39,40,0.1,0.1,1793,280,2.8,0.4,0,28,0.0,0.1,8814,1194,13.6,1.8,939,334,1.4,0.5,228,193,0.4,0.3,7,12,0.0,0.1,106,130,0.2,0.2,85,58,0.1,0.1,64882,1357,64882,(X),13791,911,21.3,1.4
91,8600000US11001,ZCTA5 11001,27867,833,27867,(X),27352,850,98.2,0.7,515,183,1.8,0.7,27352,850,98.2,0.7,19036,600,68.3,2.2,1511,313,5.4,1.1,63,64,0.2,0.2,5171,747,18.6,2.5,0,22,0.0,0.1,1571,504,5.6,1.8,515,183,1.8,0.7,61,46,0.2,0.2,28,35,0.1,0.1,208,120,0.7,0.4,0,22,0.0,0.1,27867,833,27867,(X),3548,579,12.7,1.9
92,8600000US11021,ZCTA5 11021,18185,460,18185,(X),17856,474,98.2,0.9,329,159,1.8,0.9,17856,474,98.2,0.9,12881,602,70.8,2.7,414,225,2.3,1.2,49,73,0.3,0.4,3764,378,20.7,2.0,0,19,0.0,0.2,748,364,4.1,2.0,329,159,1.8,0.9,82,68,0.5,0.4,20,23,0.1,0.1,114,95,0.6,0.5,0,19,0.0,0.2,18185,460,18185,(X),1162,344,6.4,1.9
93,8600000US11050,ZCTA5 11050,30132,745,30132,(X),29791,747,98.9,0.5,341,144,1.1,0.5,29791,747,98.9,0.5,24155,1011,80.2,2.7,491,195,1.6,0.6,58,63,0.2,0.2,3606,662,12.0,2.2,11,18,0.0,0.1,1470,642,4.9,2.1,341,144,1.1,0.5,0,25,0.0,0.1,123,104,0.4,0.3,167,95,0.6,0.3,10,34,0.0,0.1,30132,745,30132,(X),4679,784,15.5,2.5
94,8600000US11101,ZCTA5 11101,30043,1462,30043,(X),28434,1411,94.6,1.0,1609,317,5.4,1.0,28434,1411,94.6,1.0,12915,967,43.0,2.8,4713,819,15.7,2.6,192,186,0.6,0.6,6842,938,22.8,2.7,41,66,0.1,0.2,3731,678,12.4,2.2,1609,317,5.4,1.0,474,218,1.6,0.7,54,54,0.2,0.2,441,178,1.5,0.6,12,20,0.0,0.1,30043,1462,30043,(X),7908,840,26.3,2.6
95,8600000US11102,ZCTA5 11102,30800,1110,30800,(X),29872,1080,97.0,0.6,928,198,3.0,0.6,29872,1080,97.0,0.6,18207,914,59.1,2.4,2964,562,9.6,1.8,24,37,0.1,0.1,4650,627,15.1,2.0,16,24,0.1,0.1,4011,776,13.0,2.4,928,198,3.0,0.6,196,88,0.6,0.3,38,42,0.1,0.1,258,95,0.8,0.3,5,8,0.0,0.1,30800,1110,30800,(X),9472,874,30.8,2.3
96,8600000US11103,ZCTA5 11103,36140,1316,36140,(X),34887,1377,96.5,0.8,1253,280,3.5,0.8,34887,1377,96.5,0.8,25632,1164,70.9,2.3,961,280,2.7,0.8,122,87,0.3,0.2,5379,642,14.9,1.6,45,68,0.1,0.2,2748,552,7.6,1.5,1253,280,3.5,0.8,214,104,0.6,0.3,57,41,0.2,0.1,354,166,1.0,0.5,9,14,0.0,0.1,36140,1316,36140,(X),8204,798,22.7,1.9
97,8600000US11104,ZCTA5 11104,26119,1197,26119,(X),25519,1232,97.7,0.9,600,218,2.3,0.9,25519,1232,97.7,0.9,17459,1245,66.8,3.0,490,201,1.9,0.8,71,62,0.3,0.2,5769,710,22.1,2.7,0,22,0.0,0.1,1730,420,6.6,1.6,600,218,2.3,0.9,95,67,0.4,0.3,15,25,0.1,0.1,276,172,1.1,0.7,0,22,0.0,0.1,26119,1197,26119,(X),8210,1112,31.4,3.5
98,8600000US11105,ZCTA5 11105,37382,1328,37382,(X),36214,1311,96.9,0.8,1168,319,3.1,0.8,36214,1311,96.9,0.8,27867,1225,74.5,2.5,960,256,2.6,0.7,243,267,0.7,0.7,4658,648,12.5,1.7,0,25,0.0,0.1,2486,570,6.7,1.5,1168,319,3.1,0.8,228,108,0.6,0.3,72,47,0.2,0.1,362,109,1.0,0.3,26,19,0.1,0.1,37382,1328,37382,(X),8212,952,22.0,2.2
99,8600000US11106,ZCTA5 11106,38363,1439,38363,(X),36506,1390,95.2,1.1,1857,426,4.8,1.1,36506,1390,95.2,1.1,20734,1302,54.0,2.7,2727,449,7.1,1.2,108,73,0.3,0.2,8086,836,21.1,2.1,8,14,0.0,0.1,4843,804,12.6,2.0,1857,426,4.8,1.1,564,260,1.5,0.7,171,161,0.4,0.4,363,126,0.9,0.3,9,14,0.0,0.1,38363,1439,38363,(X),10844,1164,28.3,2.6
100,0100000US,United States,322903030,*****,322903030,(X),312467233,95465,96.8,0.1,10435797,95419,3.2,0.1,312467233,95465,96.8,0.1,234904818,49642,72.7,0.1,40916113,31375,12.7,0.1,2699073,12129,0.8,0.1,17574550,20968,5.4,0.1,582718,5451,0.2,0.1,15789961,90295,4.9,0.1,10435797,95419,3.2,0.1,2808897,31046,0.9,0.1,1914487,12184,0.6,0.1,2174150,26032,0.7,0.1,313482,7086,0.1,0.1,322903030,*****,322903030,(X),57517935,1657,17.8,0.1
101,8600000US11201,ZCTA5 11201,62823,1267,62823,(X),59121,1339,94.1,0.8,3702,511,5.9,0.8,59121,1339,94.1,0.8,40248,1171,64.1,1.4,8537,894,13.6,1.3,147,164,0.2,0.3,7430,583,11.8,1.0,58,58,0.1,0.1,2701,560,4.3,0.9,3702,511,5.9,0.8,789,304,1.3,0.5,223,124,0.4,0.2,1537,346,2.4,0.6,98,96,0.2,0.2,62823,1267,62823,(X),7267,686,11.6,1.1
102,8600000US11203,ZCTA5 11203,75451,1976,75451,(X),74218,1991,98.4,0.4,1233,299,1.6,0.4,74218,1991,98.4,0.4,3330,559,4.4,0.7,67171,1819,89.0,1.1,114,79,0.2,0.1,1431,324,1.9,0.4,0,28,0.0,0.1,2172,518,2.9,0.7,1233,299,1.6,0.4,199,88,0.3,0.1,192,161,0.3,0.2,96,74,0.1,0.1,141,151,0.2,0.2,75451,1976,75451,(X),4846,680,6.4,0.9
103,8600000US11204,ZCTA5 11204,76978,1957,76978,(X),75675,1890,98.3,0.4,1303,337,1.7,0.4,75675,1890,98.3,0.4,44686,1766,58.1,1.8,893,251,1.2,0.3,178,103,0.2,0.1,24594,1155,31.9,1.4,13,19,0.0,0.1,5311,1053,6.9,1.3,1303,337,1.7,0.4,61,40,0.1,0.1,84,110,0.1,0.1,666,256,0.9,0.3,8,12,0.0,0.1,76978,1957,76978,(X),8396,1060,10.9,1.3
104,8600000US11205,ZCTA5 11205,46064,1551,46064,(X),44304,1497,96.2,0.8,1760,379,3.8,0.8,44304,1497,96.2,0.8,22570,1161,49.0,1.9,14651,1094,31.8,1.9,272,285,0.6,0.6,3184,379,6.9,0.9,8,15,0.0,0.1,3619,554,7.9,1.2,1760,379,3.8,0.8,365,194,0.8,0.4,122,83,0.3,0.2,487,160,1.1,0.3,91,63,0.2,0.1,46064,1551,46064,(X),8153,830,17.7,1.8
105,8600000US11206,ZCTA5 11206,88349,2041,88349,(X),85010,2097,96.2,0.8,3339,678,3.8,0.8,85010,2097,96.2,0.8,41715,1626,47.2,1.7,23405,1645,26.5,1.8,638,260,0.7,0.3,6056,797,6.9,0.9,33,28,0.0,0.1,13163,1535,14.9,1.6,3339,678,3.8,0.8,1387,587,1.6,0.7,190,115,0.2,0.1,425,154,0.5,0.2,106,61,0.1,0.1,88349,2041,88349,(X),32797,1452,37.1,1.5
106,8600000US11207,ZCTA5 11207,91972,2452,91972,(X),89709,2508,97.5,0.5,2263,490,2.5,0.5,89709,2508,97.5,0.5,13372,1194,14.5,1.3,59171,2679,64.3,2.1,386,298,0.4,0.3,1300,338,1.4,0.4,86,92,0.1,0.1,15394,1495,16.7,1.6,2263,490,2.5,0.5,516,216,0.6,0.2,195,100,0.2,0.1,116,91,0.1,0.1,218,137,0.2,0.1,91972,2452,91972,(X),30605,1789,33.3,1.7
107,8600000US11208,ZCTA5 11208,98660,2227,98660,(X),96857,2256,98.2,0.4,1803,359,1.8,0.4,96857,2256,98.2,0.4,25549,1918,25.9,1.8,53666,1873,54.4,1.6,339,205,0.3,0.2,5621,784,5.7,0.8,62,103,0.1,0.1,11620,1171,11.8,1.2,1803,359,1.8,0.4,364,194,0.4,0.2,61,53,0.1,0.1,164,154,0.2,0.2,218,151,0.2,0.2,98660,2227,98660,(X),40756,2017,41.3,1.7
108,8600000US11209,ZCTA5 11209,67809,1828,67809,(X),65378,1802,96.4,0.6,2431,423,3.6,0.6,65378,1802,96.4,0.6,50050,1678,73.8,1.6,2078,504,3.1,0.7,211,156,0.3,0.2,9115,840,13.4,1.2,69,58,0.1,0.1,3855,740,5.7,1.1,2431,423,3.6,0.6,630,244,0.9,0.4,146,93,0.2,0.1,749,225,1.1,0.3,9,22,0.0,0.1,67809,1828,67809,(X),11441,1049,16.9,1.4
109,8600000US11210,ZCTA5 11210,67040,1786,67040,(X),65891,1816,98.3,0.4,1149,257,1.7,0.4,65891,1816,98.3,0.4,20877,1251,31.1,1.8,39272,1707,58.6,1.8,70,63,0.1,0.1,2863,574,4.3,0.8,0,28,0.0,0.1,2809,622,4.2,0.9,1149,257,1.7,0.4,353,145,0.5,0.2,20,32,0.0,0.1,110,89,0.2,0.1,29,32,0.0,0.1,67040,1786,67040,(X),4716,773,7.0,1.1
110,8600000US11211,ZCTA5 11211,102624,2613,102624,(X),99292,2581,96.8,0.5,3332,552,3.2,0.5,99292,2581,96.8,0.5,76620,2311,74.7,1.8,6611,1255,6.4,1.2,499,304,0.5,0.3,5753,719,5.6,0.7,8,14,0.0,0.1,9801,1462,9.6,1.4,3332,552,3.2,0.5,644,203,0.6,0.2,413,179,0.4,0.2,936,222,0.9,0.2,61,60,0.1,0.1,102624,2613,102624,(X),24955,1646,24.3,1.4
111,8600000US11212,ZCTA5 11212,76527,2734,76527,(X),74820,2727,97.8,0.5,1707,419,2.2,0.5,74820,2727,97.8,0.5,5487,1047,7.2,1.3,62425,2493,81.6,1.5,168,136,0.2,0.2,986,343,1.3,0.4,30,35,0.0,0.1,5724,1004,7.5,1.3,1707,419,2.2,0.5,661,300,0.9,0.4,0,28,0.0,0.1,112,88,0.1,0.1,140,116,0.2,0.2,76527,2734,76527,(X),14266,1360,18.6,1.6
112,8600000US11213,ZCTA5 11213,66295,1791,66295,(X),64408,1786,97.2,0.7,1887,444,2.8,0.7,64408,1786,97.2,0.7,14869,1084,22.4,1.5,44813,1483,67.6,1.5,108,103,0.2,0.2,1357,345,2.0,0.5,0,28,0.0,0.1,3261,749,4.9,1.1,1887,444,2.8,0.7,676,277,1.0,0.4,184,159,0.3,0.2,335,206,0.5,0.3,176,109,0.3,0.2,66295,1791,66295,(X),7060,968,10.6,1.4
113,8600000US11214,ZCTA5 11214,92946,2247,92946,(X),90476,2270,97.3,0.6,2470,588,2.7,0.6,90476,2270,97.3,0.6,45769,1756,49.2,1.6,1364,324,1.5,0.3,192,171,0.2,0.2,34861,1652,37.5,1.7,11,17,0.0,0.1,8279,1429,8.9,1.5,2470,588,2.7,0.6,137,90,0.1,0.1,228,195,0.2,0.2,1537,581,1.7,0.6,0,28,0.0,0.1,92946,2247,92946,(X),15273,1632,16.4,1.6
114,8600000US11215,ZCTA5 11215,70156,1583,70156,(X),66012,1612,94.1,0.9,4144,603,5.9,0.9,66012,1612,94.1,0.9,53421,1421,76.1,1.3,3233,486,4.6,0.7,94,81,0.1,0.1,5572,592,7.9,0.8,0,28,0.0,0.1,3692,623,5.3,0.9,4144,603,5.9,0.9,1072,309,1.5,0.4,220,108,0.3,0.2,1749,355,2.5,0.5,16,36,0.0,0.1,70156,1583,70156,(X),11428,1068,16.3,1.4
115,8600000US11216,ZCTA5 11216,56308,1651,56308,(X),53927,1622,95.8,0.9,2381,523,4.2,0.9,53927,1622,95.8,0.9,16316,973,29.0,1.7,32083,1487,57.0,1.8,157,124,0.3,0.2,2925,502,5.2,0.9,10,16,0.0,0.1,2436,601,4.3,1.1,2381,523,4.2,0.9,1009,379,1.8,0.7,77,72,0.1,0.1,533,218,0.9,0.4,135,128,0.2,0.2,56308,1651,56308,(X),6079,698,10.8,1.2
116,8600000US11217,ZCTA5 11217,41407,1639,41407,(X),39519,1596,95.4,1.0,1888,407,4.6,1.0,39519,1596,95.4,1.0,24009,1311,58.0,3.0,8163,1068,19.7,2.3,46,31,0.1,0.1,3135,450,7.6,1.1,10,17,0.0,0.1,4156,771,10.0,1.7,1888,407,4.6,1.0,517,194,1.2,0.5,124,96,0.3,0.2,758,222,1.8,0.5,75,62,0.2,0.2,41407,1639,41407,(X),7671,823,18.5,1.7
117,8600000US11218,ZCTA5 11218,74508,2273,74508,(X),71549,2298,96.0,0.8,2959,587,4.0,0.8,71549,2298,96.0,0.8,44496,1991,59.7,2.1,6015,743,8.1,1.0,403,314,0.5,0.4,13810,1310,18.5,1.7,0,28,0.0,0.1,6825,1044,9.2,1.3,2959,587,4.0,0.8,506,243,0.7,0.3,181,186,0.2,0.2,1273,349,1.7,0.5,0,28,0.0,0.1,74508,2273,74508,(X),13089,1212,17.6,1.4
118,8600000US11219,ZCTA5 11219,90036,2709,90036,(X),89224,2673,99.1,0.3,812,303,0.9,0.3,89224,2673,99.1,0.3,60521,2571,67.2,1.9,931,248,1.0,0.3,224,137,0.2,0.2,22042,1484,24.5,1.7,14,21,0.0,0.1,5492,1105,6.1,1.2,812,303,0.9,0.3,175,93,0.2,0.1,36,35,0.0,0.1,236,203,0.3,0.2,0,28,0.0,0.1,90036,2709,90036,(X),10913,1517,12.1,1.5
119,8600000US11220,ZCTA5 11220,95643,2498,95643,(X),93189,2404,97.4,0.7,2454,684,2.6,0.7,93189,2404,97.4,0.7,29005,1890,30.3,1.8,2458,408,2.6,0.4,428,205,0.4,0.2,39493,1616,41.3,1.5,0,28,0.0,0.1,21805,1925,22.8,1.9,2454,684,2.6,0.7,596,197,0.6,0.2,45,53,0.0,0.1,450,198,0.5,0.2,11,17,0.0,0.1,95643,2498,95643,(X),39840,2065,41.7,1.6
120,8600000US11221,ZCTA5 11221,83835,2503,83835,(X),80560,2483,96.1,0.7,3275,592,3.9,0.7,80560,2483,96.1,0.7,23203,1389,27.7,1.7,41079,2277,49.0,2.0,558,216,0.7,0.3,2815,557,3.4,0.7,16,21,0.0,0.1,12889,1422,15.4,1.6,3275,592,3.9,0.7,978,315,1.2,0.4,198,198,0.2,0.2,482,153,0.6,0.2,333,216,0.4,0.3,83835,2503,83835,(X),28781,1929,34.3,2.0
121,8600000US11222,ZCTA5 11222,36492,1208,36492,(X),34976,1180,95.8,1.0,1516,379,4.2,1.0,34976,1180,95.8,1.0,29893,1197,81.9,2.4,1590,491,4.4,1.3,96,75,0.3,0.2,1841,306,5.0,0.8,6,8,0.0,0.1,1550,430,4.2,1.2,1516,379,4.2,1.0,259,169,0.7,0.5,92,74,0.3,0.2,661,156,1.8,0.4,0,25,0.0,0.1,36492,1208,36492,(X),5197,737,14.2,2.0
122,8600000US11223,ZCTA5 11223,81789,2484,81789,(X),79158,2387,96.8,0.9,2631,753,3.2,0.9,79158,2387,96.8,0.9,46811,1763,57.2,1.9,3886,828,4.8,1.0,239,214,0.3,0.3,19777,1243,24.2,1.5,139,180,0.2,0.2,8306,1567,10.2,1.8,2631,753,3.2,0.9,264,148,0.3,0.2,188,198,0.2,0.2,1620,526,2.0,0.6,259,279,0.3,0.3,81789,2484,81789,(X),13697,1646,16.7,1.8
123,8600000US11224,ZCTA5 11224,46707,1586,46707,(X),45407,1728,97.2,1.3,1300,625,2.8,1.3,45407,1728,97.2,1.3,27137,1588,58.1,2.6,10495,1144,22.5,2.4,68,71,0.1,0.2,2769,554,5.9,1.2,4,9,0.0,0.1,4934,897,10.6,1.9,1300,625,2.8,1.3,438,324,0.9,0.7,69,82,0.1,0.2,454,454,1.0,1.0,29,32,0.1,0.1,46707,1586,46707,(X),9516,1039,20.4,2.1
124,8600000US11225,ZCTA5 11225,58882,2022,58882,(X),57308,2066,97.3,0.8,1574,444,2.7,0.8,57308,2066,97.3,0.8,16038,1355,27.2,2.1,37614,1905,63.9,2.3,49,69,0.1,0.1,1560,314,2.6,0.5,27,39,0.0,0.1,2020,551,3.4,0.9,1574,444,2.7,0.8,421,225,0.7,0.4,115,92,0.2,0.2,293,188,0.5,0.3,39,32,0.1,0.1,58882,2022,58882,(X),4913,760,8.3,1.2
125,8600000US11226,ZCTA5 11226,100277,2755,100277,(X),97600,2822,97.3,0.5,2677,510,2.7,0.5,97600,2822,97.3,0.5,15288,1461,15.2,1.4,68415,2503,68.2,1.7,297,254,0.3,0.3,2896,673,2.9,0.7,0,28,0.0,0.1,10704,1463,10.7,1.4,2677,510,2.7,0.5,549,222,0.5,0.2,280,199,0.3,0.2,759,244,0.8,0.2,64,56,0.1,0.1,100277,2755,100277,(X),17145,1583,17.1,1.4
126,8600000US11228,ZCTA5 11228,44994,1468,44994,(X),44012,1438,97.8,0.7,982,339,2.2,0.7,44012,1438,97.8,0.7,25047,954,55.7,2.2,521,246,1.2,0.5,137,110,0.3,0.2,16023,1160,35.6,2.0,31,34,0.1,0.1,2253,551,5.0,1.2,982,339,2.2,0.7,98,93,0.2,0.2,146,123,0.3,0.3,309,190,0.7,0.4,7,10,0.0,0.1,44994,1468,44994,(X),5838,893,13.0,1.8
127,8600000US11229,ZCTA5 11229,83615,1997,83615,(X),81289,2003,97.2,0.7,2326,568,2.8,0.7,81289,2003,97.2,0.7,54043,1751,64.6,1.9,4985,884,6.0,1.1,208,281,0.2,0.3,18540,1464,22.2,1.5,76,109,0.1,0.1,3437,858,4.1,1.0,2326,568,2.8,0.7,368,186,0.4,0.2,33,36,0.0,0.1,1634,486,2.0,0.6,8,14,0.0,0.1,83615,1997,83615,(X),9039,1001,10.8,1.1
128,8600000US11230,ZCTA5 11230,89075,2360,89075,(X),86908,2340,97.6,0.6,2167,517,2.4,0.6,86908,2340,97.6,0.6,62333,1844,70.0,1.6,6328,712,7.1,0.8,393,395,0.4,0.4,12631,1244,14.2,1.3,0,28,0.0,0.1,5223,1104,5.9,1.2,2167,517,2.4,0.6,188,94,0.2,0.1,157,108,0.2,0.1,1020,354,1.1,0.4,30,30,0.0,0.1,89075,2360,89075,(X),9119,1288,10.2,1.3
129,8600000US11231,ZCTA5 11231,37845,1295,37845,(X),35579,1182,94.0,1.2,2266,495,6.0,1.2,35579,1182,94.0,1.2,24939,998,65.9,2.2,5262,745,13.9,1.8,237,221,0.6,0.6,2135,392,5.6,1.0,268,315,0.7,0.8,2738,544,7.2,1.4,2266,495,6.0,1.2,355,237,0.9,0.6,15,16,0.0,0.1,1158,317,3.1,0.8,148,209,0.4,0.5,37845,1295,37845,(X),7047,928,18.6,2.3
130,8600000US11232,ZCTA5 11232,27602,1461,27602,(X),26248,1476,95.1,1.1,1354,303,4.9,1.1,26248,1476,95.1,1.1,11391,1019,41.3,3.1,1772,890,6.4,3.0,288,178,1.0,0.6,5278,675,19.1,2.7,0,22,0.0,0.1,7519,939,27.2,3.4,1354,303,4.9,1.1,403,188,1.5,0.7,91,91,0.3,0.3,240,113,0.9,0.4,51,43,0.2,0.2,27602,1461,27602,(X),13974,1087,50.6,2.9
131,8600000US11233,ZCTA5 11233,76819,2189,76819,(X),75017,2207,97.7,0.5,1802,370,2.3,0.5,75017,2207,97.7,0.5,6731,659,8.8,0.9,60526,2161,78.8,1.4,113,101,0.1,0.1,1320,375,1.7,0.5,0,28,0.0,0.1,6327,880,8.2,1.1,1802,370,2.3,0.5,406,183,0.5,0.2,65,64,0.1,0.1,346,160,0.5,0.2,263,155,0.3,0.2,76819,2189,76819,(X),12276,1192,16.0,1.5
132,8600000US11234,ZCTA5 11234,95666,2219,95666,(X),93956,2240,98.2,0.4,1710,346,1.8,0.4,93956,2240,98.2,0.4,39753,1528,41.6,1.4,43831,1716,45.8,1.3,152,104,0.2,0.1,6411,748,6.7,0.8,11,17,0.0,0.1,3798,847,4.0,0.9,1710,346,1.8,0.4,491,167,0.5,0.2,145,113,0.2,0.1,490,189,0.5,0.2,56,65,0.1,0.1,95666,2219,95666,(X),10023,1178,10.5,1.2
133,8600000US11235,ZCTA5 11235,78128,1893,78128,(X),76095,1929,97.4,0.8,2033,627,2.6,0.8,76095,1929,97.4,0.8,58754,1627,75.2,1.6,2011,501,2.6,0.6,189,174,0.2,0.2,11285,1132,14.4,1.4,0,28,0.0,0.1,3856,893,4.9,1.1,2033,627,2.6,0.8,102,67,0.1,0.1,70,104,0.1,0.1,1518,616,1.9,0.8,31,53,0.0,0.1,78128,1893,78128,(X),6491,1055,8.3,1.3
134,8600000US11236,ZCTA5 11236,100331,2339,100331,(X),98909,2255,98.6,0.4,1422,413,1.4,0.4,98909,2255,98.6,0.4,5879,761,5.9,0.7,86679,2143,86.4,1.1,158,82,0.2,0.1,2720,498,2.7,0.5,15,27,0.0,0.1,3458,607,3.4,0.6,1422,413,1.4,0.4,155,138,0.2,0.1,102,95,0.1,0.1,258,203,0.3,0.2,95,61,0.1,0.1,100331,2339,100331,(X),7166,889,7.1,0.9
135,8600000US11237,ZCTA5 11237,49310,1833,49310,(X),47733,1857,96.8,0.7,1577,366,3.2,0.7,47733,1857,96.8,0.7,20736,1499,42.1,2.9,6670,1120,13.5,2.1,388,235,0.8,0.5,3636,600,7.4,1.2,23,28,0.0,0.1,16280,1798,33.0,3.2,1577,366,3.2,0.7,477,154,1.0,0.3,27,32,0.1,0.1,244,97,0.5,0.2,30,40,0.1,0.1,49310,1833,49310,(X),31052,1964,63.0,2.4
136,8600000US11238,ZCTA5 11238,54540,1740,54540,(X),51722,1665,94.8,0.9,2818,497,5.2,0.9,51722,1665,94.8,0.9,25308,1117,46.4,1.8,20521,1227,37.6,1.8,46,46,0.1,0.1,3364,558,6.2,1.0,19,20,0.0,0.1,2464,502,4.5,0.9,2818,497,5.2,0.9,857,202,1.6,0.4,123,77,0.2,0.1,921,233,1.7,0.4,82,85,0.2,0.2,54540,1740,54540,(X),5947,724,10.9,1.2
137,8600000US11239,ZCTA5 11239,13244,864,13244,(X),13062,853,98.6,0.7,182,98,1.4,0.7,13062,853,98.6,0.7,4057,851,30.6,5.2,7991,565,60.3,4.3,137,101,1.0,0.8,300,184,2.3,1.4,0,19,0.0,0.2,577,301,4.4,2.3,182,98,1.4,0.7,73,67,0.6,0.5,0,19,0.0,0.2,0,19,0.0,0.2,9,21,0.1,0.2,13244,864,13244,(X),2507,854,18.9,5.7
138,8600000US11354,ZCTA5 11354,55200,2265,55200,(X),53882,2239,97.6,0.8,1318,457,2.4,0.8,53882,2239,97.6,0.8,11472,1048,20.8,1.7,1775,349,3.2,0.6,115,99,0.2,0.2,34682,1870,62.8,2.5,7,14,0.0,0.1,5831,1232,10.6,2.1,1318,457,2.4,0.8,223,151,0.4,0.3,23,33,0.0,0.1,456,289,0.8,0.5,5,11,0.0,0.1,55200,2265,55200,(X),8803,1250,15.9,2.0
139,8600000US11355,ZCTA5 11355,80853,2400,80853,(X),79023,2465,97.7,0.7,1830,568,2.3,0.7,79023,2465,97.7,0.7,10683,1018,13.2,1.2,2748,528,3.4,0.7,613,335,0.8,0.4,58759,2043,72.7,1.6,78,72,0.1,0.1,6142,1048,7.6,1.2,1830,568,2.3,0.7,304,271,0.4,0.3,70,78,0.1,0.1,468,292,0.6,0.4,24,32,0.0,0.1,80853,2400,80853,(X),11943,1200,14.8,1.3
140,8600000US11356,ZCTA5 11356,23362,1289,23362,(X),22304,1303,95.5,1.6,1058,378,4.5,1.6,22304,1303,95.5,1.6,8389,995,35.9,3.8,419,272,1.8,1.1,71,128,0.3,0.5,6857,1004,29.4,4.1,49,70,0.2,0.3,6519,968,27.9,3.8,1058,378,4.5,1.6,22,28,0.1,0.1,0,22,0.0,0.1,424,283,1.8,1.2,10,16,0.0,0.1,23362,1289,23362,(X),9417,1141,40.3,4.1
